Postcode,In Use?,Latitude,Population,Longitude,Postcode district,Postcode area,Average Income,LSOA code,County
AL1 1AG,Yes,51.74529,14,-0.328628,AL1,AL,58100,E01023741,Hertfordshire
AL1 1AR,Yes,51.739727,32,-0.317492,AL1,AL,57300,E01023684,Hertfordshire
AL1 1AS,Yes,51.749073,34,-0.335471,AL1,AL,77600,E01023726,Hertfordshire
AL1 1AT,Yes,51.742011,,-0.319421,AL1,AL,57300,E01023682,Hertfordshire
AL1 1BH,Yes,51.746852,52,-0.338,AL1,AL,58100,E01023740,Hertfordshire
AL1 1BU,Yes,51.749723,,-0.340691,AL1,AL,72200,E01023743,Hertfordshire
AL1 1DT,Yes,51.750047,,-0.3401,AL1,AL,77600,E01023727,Hertfordshire
AL1 1HU,Yes,51.737312,16,-0.313382,AL1,AL,57300,E01023683,Hertfordshire
AL1 1NU,Yes,51.746493,28,-0.329771,AL1,AL,77600,E01023729,Hertfordshire
AL1 1WZ,Yes,51.74765,,-0.301973,AL1,AL,72900,E01023667,Hertfordshire
AL1 2AA,Yes,51.740797,10,-0.350077,AL1,AL,72200,E01023744,Hertfordshire
AL1 2AP,Yes,51.738905,13,-0.336829,AL1,AL,58100,E01023738,Hertfordshire
AL1 2DF,Yes,51.741378,,-0.339641,AL1,AL,58100,E01023737,Hertfordshire
AL1 2LD,Yes,51.73714,33,-0.338545,AL1,AL,58100,E01023739,Hertfordshire
AL1 3AN,Yes,51.753791,,-0.330183,AL1,AL,72500,E01023676,Hertfordshire
AL1 3DQ,Yes,51.757968,,-0.333072,AL1,AL,80900,E01023716,Hertfordshire
AL1 3EL,Yes,51.758014,14,-0.33378,AL1,AL,77600,E01023728,Hertfordshire
AL1 3NZ,Yes,51.75788,8,-0.326207,AL1,AL,72500,E01023675,Hertfordshire
AL1 4AH,Yes,51.765338,74,-0.32396,AL1,AL,80900,E01023715,Hertfordshire
AL1 4BE,Yes,51.760113,23,-0.312619,AL1,AL,80900,E01023714,Hertfordshire
AL1 4BS,Yes,51.758953,11,-0.311358,AL1,AL,80900,E01023673,Hertfordshire
AL1 4FH,Yes,51.752347,21,-0.316531,AL1,AL,72500,E01023674,Hertfordshire
AL1 4UN,Yes,51.752083,134,-0.308848,AL1,AL,72900,E01023665,Hertfordshire
AL1 5AE,Yes,51.743147,56,-0.307124,AL1,AL,57300,E01023681,Hertfordshire
AL1 5AF,Yes,51.745123,39,-0.304429,AL1,AL,59000,E01023678,Hertfordshire
AL1 5EA,Yes,51.748678,18,-0.316537,AL1,AL,72500,E01023666,Hertfordshire
AL10 0AA,Yes,51.764264,,-0.226254,AL10,AL,47200,E01023920,Hertfordshire
AL10 0AB,Yes,51.773137,89,-0.223316,AL10,AL,47300,E01033311,Hertfordshire
AL10 0AD,Yes,51.773498,16,-0.21862,AL10,AL,47300,E01023930,Hertfordshire
AL10 0AJ,Yes,51.772671,16,-0.222204,AL10,AL,47300,E01023929,Hertfordshire
AL10 0BH,Yes,51.767086,16,-0.231699,AL10,AL,47200,E01023921,Hertfordshire
AL10 0BS,Yes,51.766269,,-0.227021,AL10,AL,53500,E01023927,Hertfordshire
AL10 0ER,Yes,51.765775,,-0.218528,AL10,AL,53500,E01023926,Hertfordshire
AL10 8AB,Yes,51.760212,,-0.220529,AL10,AL,53500,E01023924,Hertfordshire
AL10 8DA,Yes,51.760153,60,-0.232318,AL10,AL,47200,E01023922,Hertfordshire
AL10 8DZ,Yes,51.757248,48,-0.235242,AL10,AL,47200,E01023923,Hertfordshire
AL10 8FB,Yes,51.743182,,-0.230954,AL10,AL,42600,E01023932,Hertfordshire
AL10 8FG,Yes,51.749116,,-0.233315,AL10,AL,42600,E01023937,Hertfordshire
AL10 8HS,Yes,51.741664,,-0.231694,AL10,AL,47200,E01023964,Hertfordshire
AL10 8HY,Yes,51.745929,19,-0.225625,AL10,AL,47200,E01023933,Hertfordshire
AL10 8PN,Yes,51.753655,30,-0.2254,AL10,AL,42600,E01023936,Hertfordshire
AL10 8QQ,Yes,51.752597,9,-0.232179,AL10,AL,42600,E01023935,Hertfordshire
AL10 8TJ,Yes,51.743657,,-0.223113,AL10,AL,47200,E01023963,Hertfordshire
AL10 9AA,Yes,51.752896,,-0.242882,AL10,AL,47300,E01023938,Hertfordshire
AL10 9AF,Yes,51.74585,,-0.240722,AL10,AL,42600,E01023934,Hertfordshire
AL10 9AH,Yes,51.767303,,-0.246627,AL10,AL,47300,E01033314,Hertfordshire
AL10 9AU,Yes,51.764459,75,-0.247621,AL10,AL,47300,E01033308,Hertfordshire
AL10 9BA,Yes,51.78471,2,-0.26179,AL10,AL,59900,E01033313,Hertfordshire
AL10 9FA,Yes,51.77641,69,-0.235635,AL10,AL,59900,E01033310,Hertfordshire
AL2 1AB,Yes,51.716797,,-0.282939,AL2,AL,56600,E01023704,Hertfordshire
AL2 1AD,Yes,51.716491,20,-0.302683,AL2,AL,56600,E01033029,Hertfordshire
AL2 1AE,Yes,51.71053,6,-0.297188,AL2,AL,56600,E01023708,Hertfordshire
AL2 1BB,Yes,51.721948,4,-0.281557,AL2,AL,56400,E01023584,Hertfordshire
AL2 1BT,Yes,51.714116,4,-0.269125,AL2,AL,56400,E01023583,Hertfordshire
AL2 1DW,Yes,51.728262,,-0.307701,AL2,AL,56600,E01023705,Hertfordshire
AL2 1EP,Yes,51.724139,83,-0.304931,AL2,AL,56600,E01033028,Hertfordshire
AL2 1ET,Yes,51.725807,52,-0.300011,AL2,AL,56600,E01023706,Hertfordshire
AL2 2AB,Yes,51.721502,8,-0.360879,AL2,AL,59300,E01023731,Hertfordshire
AL2 2AD,Yes,51.721288,49,-0.350144,AL2,AL,53300,E01023719,Hertfordshire
AL2 2AE,Yes,51.712981,16,-0.354094,AL2,AL,53300,E01023721,Hertfordshire
AL2 2AG,Yes,51.70941,3,-0.355546,AL2,AL,59300,E01023717,Hertfordshire
AL2 2DB,Yes,51.710572,,-0.326368,AL2,AL,53300,E01023720,Hertfordshire
AL2 2DU,Yes,51.719853,2,-0.363877,AL2,AL,59300,E01023732,Hertfordshire
AL2 2DW,Yes,51.725295,2,-0.353719,AL2,AL,53300,E01023718,Hertfordshire
AL2 2EJ,Yes,51.702461,13,-0.326762,AL2,AL,63800,E01023526,Hertfordshire
AL2 3AA,Yes,51.732613,64,-0.358145,AL2,AL,59300,E01023730,Hertfordshire
AL2 3DX,Yes,51.704794,21,-0.371845,AL2,AL,59300,E01023733,Hertfordshire
AL2 3LD,Yes,51.733855,64,-0.36075,AL2,AL,57400,E01023722,Hertfordshire
AL3 4AH,Yes,51.747746,40,-0.362151,AL3,AL,72200,E01023742,Hertfordshire
AL3 4BY,Yes,51.755415,26,-0.351581,AL3,AL,72200,E01023745,Hertfordshire
