,Postcode area,Total Population
0,HA,2448671.0
1,MK,2245805.0
2,LU,1712064.0
3,SG,1153632.0
4,HP,1651576.0
5,AL,735580.0
6,SE,8807138.0
7,IG,3066135.0
8,E,11872451.0
9,SW,6614268.0
10,EN,2019889.0
11,KT,1845420.0
12,WD,711843.0
13,TW,2817915.0
14,UB,3058965.0
15,NW,4823101.0
16,RM,4444959.0
17,N,8109724.0
18,OX,2059613.0
19,RG,2341913.0
20,CR,3600823.0
21,CM,3163504.0
22,SS,3329668.0
23,CB,81823.0
24,CO,1565592.0
25,EC,108576.0
26,GU,1310686.0
27,RH,527461.0
28,SM,1180920.0
29,SL,1616646.0
30,TN,36394.0
31,DA,1330027.0
32,BR,1776908.0
33,WC,89029.0
34,W,5283854.0
35,NN,2548.0
36,SN,61969.0
37,GL,3032.0
